supplier,nr,fabric_name,category,width_cm,year,roll_price_eur,cut_price_eur,sell_roll_price_eur,sell_cut_price_eur,status
DATEKS,841,41312,fabrics,300,2018,5.699999999999999,6.720000000000001,14.934,17.6064,
DATEKS,842,41382,fabrics,300,2018,5.73,6.720000000000001,15.012600000000003,17.6064,
DATEKS,843,41353,fabrics,300,2018,6.9,7.9,18.078000000000003,20.698,
DATEKS,844,SAPPARO,fabrics,320,2024,4.256,5.472,11.150720000000002,14.336640000000001,
DATEKS,850,NETTING ,fabrics,310,2023,24.088575,28.339499999999994,63.1120665,74.24948999999998,
DATEKS,851,SUCRE,fabrics,320,2022,7.447272727272727,8.192,19.511854545454547,21.463040000000003,
DATEKS,853,GUZIDE,fabrics,285,2022,8.28,9.11,21.6936,23.868199999999998,
DATEKS,854,BRILLIANT ,fabrics,315,2023,30.336074999999997,35.689499999999995,79.4805165,93.50648999999999,
DATEKS,855,DT2762,fabrics,300 ROLL,2023,7.425000000000001,0,19.453500000000002,0.0,
DATEKS,855,NO520 ,fabrics,300,2018,5.4,6.5,14.148000000000001,17.03,
DATEKS,856,DT37315,fabrics,300 ROLL,2023,11.925,0,31.243500000000004,0.0,
DATEKS,858,DT87315 FR,fabrics,300 ROLL,2023,10.05,0,26.331000000000003,0.0,
DATEKS,860,SOFT TUL,fabrics,300,2019,7.85,10.512,20.567,27.54144,
DATEKS,861,DT85315,fabrics,300 ROLL,2023,10.425,0,27.3135,0.0,
DATEKS,862,215322 HOWL,fabrics,290,2023,29.951999999999998,34.752,78.47424,91.05024000000002,
DATEKS,863,NATARE,fabrics,300,2022,8.82,11.38,23.108400000000003,29.815600000000003,
DATEKS,865,AGATA,fabrics,300,2020,7.295999999999999,8.72,19.11552,22.846400000000003,
DATEKS,867,CONGA,fabrics,298,2018,14.463999999999999,18.8032,37.89568,49.264384,
DATEKS,868,ASH 2229,fabrics,320,2024,7.68,9.216,20.1216,24.14592,
DATEKS,869,329323 DANTES,fabrics,300 ilgas roll,2022,24.928,29.727999999999998,65.31136000000001,77.88736,
DATEKS,870,215323 AVID,fabrics,300,2023,14.832,19.632,38.859840000000005,51.435840000000006,
DATEKS,871,329316 SHADY,fabrics,300 ilgas roll,2022,16.528000000000002,21.328000000000003,43.303360000000005,55.87936000000001,
DATEKS,873,OPERA,fabrics,300,2018,10.24,11.264000000000001,26.8288,29.511680000000005,
DATEKS,874,200094-0 FOND+ LD,fabrics,300,2018,12.464,17.264,32.655680000000004,45.23168,
DATEKS,875,PUKA,fabrics,295,2023,6.865454545454544,7.552,17.98749090909091,19.78624,
DATEKS,878,SALENTO,fabrics,300,2023,13.265454545454544,14.591999999999999,34.75549090909091,38.23104,
