article,category,width_cm,cut_price_eur,roll_price_eur,notes
"JASMIN","upholstery/decoration","140","41.5","35.28",""
"JAZZ","dimout","300","44.5","37.83",""
"JENNIFER","taffeta","295/300","31.5","26.78",""
"JIMMY","upholstery/decoration","300","24.13","20.51",""
"JUAREZ","outdoor","280","51.75","41.5",""
"JULIET","upholstery/decoration","280","49.75","39.75",""
"KAMENKA","upholstery/decoration","140","33.5","28.48",""
"KAREN","decoration","295/300","20","17",""
"KARIMA","upholstery/decoration","300","41","34.85",""
"KASKADA (DISCOUNT)","upholstery/decoration","140","24.38","20.72","DISCOUNT - available until stock lasts"
"KAZOO","upholstery/decoration","280","29.5","23.5",""
"KENZO","decoration","280","27","22.95",""
"KILYOS","decoration","300","23.5","19.98",""
"KINGSIDE (ULTIMA) (DISCOUNT)","decoration","141","8.38","7.12","DISCOUNT - available until stock lasts"
"KLARA","sheer","300","11.25","9.56",""
"KNIGHT (ULTIMA) (DISCOUNT)","decoration","141","8.38","7.12","DISCOUNT - available until stock lasts"
"KOTA","upholstery/decoration","280","23","19.55",""
"KUM","upholstery/decoration","290","18.25","15.51",""
"LABO","upholstery/decoration","280","23","19.55",""
"LADY (X390-X393)","upholstery/decoration","140","21.5","18.28",""
"LAIRON","decoration","290","36","30.6",""
"LAMA","tablecloths/decoration","280","26.5","22.53",""
"LAMPASSO","upholstery/decoration","280","71","60.35",""
"LAURA","sheer","300","18.38","15.62",""
"LEYLA (DISCOUNT)","upholstery/decoration","140","15.5","13.18","DISCOUNT - available until stock lasts"
"LEYTE","decoration","280","26.75","22.74",""
"LILIANNA","sheer","300","22","18.7",""
"LINARA – FR","fire-retardant dimout","300","40","34","Fire retardant"
"LIND","upholstery/decoration","280","24.75","21.04",""
"LINEN LIFE","decoration","320","21","17.85",""
"LINEN LONG – FR","fire-retardant voile","420","18.5","15.73","Fire retardant"
"LINO MAGIC","decoration","300","49.75","42.29",""
"LIRA (DISCOUNT)","voile","320","11.5","9.78","DISCOUNT - available until stock lasts"
"LIZO","upholstery/decoration","280","16","13.6",""
"LOFT","blackout","280","24.25","20.61",""
"LOLA","decoration","295/300","24.88","21.14",""
"LOROS (DISCOUNT)","decoration","280","7.38","6.75","DISCOUNT - available until stock lasts"
"LUAR","decoration","280","18.75","15.94",""
"LUNE","outdoor","320","31.88","27.09",""
"LUPI","upholstery/decoration","280","23","19.55",""
"LUSH VELVET – FR","upholstery","140","40.38","34.32","Fire retardant"
"LUX – FR","upholstery/decoration","280","47.13","40.06","Fire retardant"
"LUXOR – FR","fire-retardant dimout","295/300","Roll only","39.42","Fire retardant"
"LUZ","upholstery/decoration","280","17.63","14.98",""
"MAGMA – FR","upholstery","140","91.88","78.09","Fire retardant"
"MAIA","decoration","315/320","22.38","19.02",""
"MALDIV","upholstery/decoration","140","41.5","35.28",""
"MAREA","upholstery/decoration","280","35.88","28.75",""
"MARGARET (X481-X484)","upholstery/decoration","140","47.13","40.06",""
"MARIA","sheer","300","17.5","14.88",""
"MARINA","decoration","320","21.5","18.28",""
"MARLEY","voile","300","8.25","7.01",""
"MAROCCO (BLACK&WHITE)","upholstery/decoration","145","21.13","17.96",""
"MARTA","upholstery/decoration","140","41.5","35.28",""
"MATISSE – FR","decoration","325/330","21.75","18.49","Fire retardant"
"MAXIDARK – FR (DISCOUNT)","blackout","310","20.88","17.74","DISCOUNT - available until stock lasts"
"MECO","outdoor","280","51.75","41.5",""
"MEDAN","upholstery/decoration","140","59.5","50.58",""
"MEDAN KOM","upholstery/decoration","140","46.5","39.53",""
"MELODY – FR (DISCOUNT)","decoration","295/300","29.75","25.29","DISCOUNT - available until stock lasts"
"MERLIN – FR","upholstery/decoration","140","64.25","54.61","Fire retardant"
"MERRY GOBELIN","tablecloth/runner/cushion","280","23.5","19.98",""
"MESSINA (DISCOUNT)","upholstery/decoration","140","15.25","12.96","DISCOUNT - available until stock lasts"
"MIAMI","upholstery/decoration","140","22.88","19.44",""
"M-SOFT","decoration","300","21.13","17.96",""
"MILA","tablecloths/decoration","280","26.5","22.53",""
"MILLENIUM","upholstery/decoration","140","28.88","24.54",""
"MILLENIUM PLAIN","upholstery/decoration","140","23.13","19.66",""
"MILLENIUM STRIPE","upholstery/decoration","140","28.88","24.54",""
"MIRO – FR","decoration","295/300","Roll only","22.1","Fire retardant"
"MISS","sheer","295/300","18.63","15.83",""
"MISSISSIPPI","decoration","320","28.5","24.23",""
"MISTO (DISCOUNT)","upholstery/decoration","280","24.5","20.83","DISCOUNT - available until stock lasts"
"MODERN CLASSIC (X-511-514)","upholstery/decoration","140","48.5","41.23",""
"MOLIER","upholstery/decoration","280","24.75","21.04",""
"MONALISA","sheer","300","28.75","24.44",""
"MONDO","upholstery/decoration","280","21.25","18.06",""
"MONET – FR","decoration","295/300","Roll only","25.61","Fire retardant"
"MOTH","outdoor","320","43.13","34.5",""
"MOZART","upholstery/decoration","140","34.88","29.64",""
"MUSTIQUE – FR","upholstery/decoration","140","74.75","63.54","Fire retardant"
"MYKONOS","decoration","300","12.75","10.84",""
"NAGOYA","decoration","280","18.75","15.94",""
"NAKAY","upholstery/decoration","280","44.63","37.93",""
"NAPOLI","decoration","295","22.5","19.13",""
"NATURMORT, NATURE","decoration","315","27.13","23.06",""
"NELA – FR","upholstery/decoration","140","56.5","48.03","Fire retardant"
"NEREA","upholstery/decoration","280","26.25","22.31",""
"NEW GLAMOUR","decoration","290","18.75","15.94",""
"NICE","decoration","320","20.75","17.64",""
"NIGHT FR","blackout","280","24.88","21.14","Fire retardant"
"NIGHTFALL","dimout","300","19.38","16.47",""
