supplier,catalog_nr,design,category,width_cm,roll_price_eur,coupon_price_eur,sell_price_eur
DATEKS,566,ADMIRAL / Linear / Seon,fabrics,295,12.624,17.184,45.02208
DATEKS,1473,ADONE FR,fabrics,293 ROLL,19.200000000000003,0.0,0.0
DATEKS,1350,ADRIAN,fabrics,290,7.2,8.28,21.6936
DATEKS,kn,Adriya / kn. ADRIYA,fabrics,140,27.818181818181817,30.6,80.17200000000001
DATEKS,kn,Adriya Kombin / kn. ADRIYA,fabrics,140,27.818181818181817,30.6,80.17200000000001
DATEKS,477,"Adriya Shine / kn. ADRIYA, MARKIZ",fabrics,290,18.327272727272724,20.16,52.8192
DATEKS,kn,Adriya Stripe / kn. ADRIYA,fabrics,140,27.818181818181817,30.6,80.17200000000001
DATEKS,kn,Adriya Velvet / kn. ADRIYA,fabrics,140,43.767272727272726,48.144000000000005,126.13728000000002
DATEKS,330,AFIL,fabrics,300,18.429545454545455,20.2725,53.11395
DATEKS,1381,AFTER DARK,fabrics,141,17.892800000000005,23.260640000000006,60.942876800000015
DATEKS,865,AGATA,fabrics,300,7.2744,8.736000000000002,22.888320000000007
DATEKS,1197,Aybel,fabrics,310,38.20363636363636,42.024,110.10288000000001
DATEKS,,AIR FR,fabrics,300 ROLL,10.32,0.0,0.0
DATEKS,kn,AIRCRAFT / knyga SUPER SONIC,fabrics,305,25.200000000000003,32.760000000000005,85.83120000000002
DATEKS,kn,AIRLINER / knyga SUPER SONIC,fabrics,307,20.464,26.6032,69.700384
DATEKS,?,"AKELA, HATHI,IKKI,KAA,RAKSHA,TABAQUI / JUNGLIO",fabrics,,10.0912,13.118560000000002,34.37062720000001
DATEKS,104,Alanya,fabrics,300,5.818181818181818,6.4,16.768
DATEKS,1366,ALANUR,fabrics,300,32.269090909090906,35.496,92.99952
DATEKS,kn,Alassio / Dolce Vita,fabrics,300,25.392,33.0096,86.485152
DATEKS,1377,ALBA,fabrics,290,7.5200000000000005,8.656,22.678720000000002
DATEKS,900,ALBATROS,fabrics,,9.120000000000001,11.745000000000001,30.771900000000002
DATEKS,kn,Albenga / Dolce Vita,fabrics,300,22.560000000000002,29.328000000000003,76.83936000000001
DATEKS,1269x,ALBUFERA / UTIEL,fabrics,280,21.12,25.248,66.14976
DATEKS,kn,ALDER,fabrics,135,46.85818181818181,51.544,135.04528
DATEKS,1477,ALEKSANDER,fabrics,295 ROLL,30.150000000000002,0.0,0.0
DATEKS,1205,ALYA  geometrija,fabrics,300,25.59272727272727,28.152,73.75824
DATEKS,828,ALYA /1833 ,fabrics,320/300,5.6000000000000005,6.448,16.89376
DATEKS,299,Alya Dimout,fabrics,295,7.93,10.4,27.248
DATEKS,898,ALICANTE,fabrics,295,53.287272727272736,58.616000000000014,153.57392000000004
DATEKS,70,ALICE,fabrics,340?,7.040000000000001,8.096,21.21152
DATEKS,45,Alinda Keten,fabrics,290,6.545454545454545,7.2,18.864
DATEKS,1140,ALIVIA,fabrics,300,39.2,43.120000000000005,112.97440000000002
DATEKS,69,ALMIRA,fabrics,290,7.840000000000001,9.024,23.642879999999998
DATEKS,561,Aloe / TROPICO,fabrics,138,10.848,14.102400000000001,36.948288000000005
DATEKS,kn,ALTITUDE / knyga SUPER SONIC,fabrics,306,21.6,28.080000000000002,73.56960000000001
DATEKS,1411x,Amazing Sheer,fabrics,296,14.928,19.406400000000005,50.844768000000016
DATEKS,1551,Amber  / kn. PERU 2,fabrics,140,34.123636363636365,37.536,98.34432000000001
DATEKS,531,AMBERES,fabrics,298,15.254400000000002,18.312,47.97744000000001
DATEKS,1016,Ampersand,fabrics,145,8.4,10.920000000000002,28.610400000000006
DATEKS,521,AMUZE APPETITE DIGESTIF / APERO,fabrics,139,8.496,11.0448,28.937376000000004
DATEKS,332,Andante,fabrics,300,15.36,19.728,51.687360000000005
DATEKS,103,ANFI,fabrics,300,5.6,6.16,16.139200000000002
DATEKS,588,ANIMAL FON,fabrics,300,10.88,12.48,32.6976
DATEKS,,ANIMAL TUL,fabrics,300,6.720000000000001,8.8,23.056000000000004
DATEKS,544,ANJOU LOIRE MACON  / VINEYARD,fabrics,139,11.024000000000001,14.331200000000003,37.54774400000001
DATEKS,801,Anka,fabrics,300,16.938181818181818,18.632,48.81584000000001
DATEKS,822,Anka Grek,fabrics,320,3.6799999999999997,5.120000000000001,13.414400000000002
DATEKS,116,ANTARES DIMOUT,fabrics,302,21.28,27.664000000000005,72.47968000000002
DATEKS,532,"Anthology, Aria, Senza  / Verso",fabrics,142,13.12,17.056,44.68672
DATEKS,954,Aphelion,fabrics,300,25.008000000000003,32.510400000000004,85.17724800000002
DATEKS,927x,APOLLO (LIFT OFF),fabrics,140,9.520000000000001,12.376000000000001,32.42512000000001
DATEKS,1411x,Appreciate crushed Sheer,fabrics,290,15.2208,19.787040000000005,51.84204480000001
DATEKS,1351,APRIL,fabrics,296,7.2,8.28,21.6936
DATEKS,534,Aquarella,fabrics,142,12.1576,14.549600000000002,38.119952000000005
DATEKS,1470x,AQUILA /  FR Dimout M1,fabrics,150,14.944,21.232,55.62784
DATEKS,1179,ARECA / BLOOMING SEASON,fabrics,289,43.64363636363636,48.008,125.78096000000001
DATEKS,1599,ARELLA,fabrics,300,9.745454545454546,10.72,28.0864
DATEKS,kn,Arena  / kn. FESTIVAL,fabrics,300,28.208,36.6704,96.076448
DATEKS,401,Arena Easy  / kn.  COSMOPOLITAN vol.1 ,fabrics,300,17.018181818181816,18.72,49.0464
DATEKS,kn,Arena Elit  / kn.  COSMOPOLITAN vol.1 ,fabrics,140,24.546666666666663,25.773999999999997,67.52788
DATEKS,kn,Arena Geo  / kn.  COSMOPOLITAN vol.1 ,fabrics,145,25.85333333333333,27.146,71.12252000000001
